a,##
tropic,trQpIk
trot,trQt
troth,tr5T
trouble,trVb@l
trough,trQf
trounce,tr6ns
trouser,tr6z@
trout,tr6t
trove,tr5v
trowel,tr6@l
troy,tr4
truant,tru@nt
truce,trus
truck,trVk
truckle,trVk@l
truculent,trVkjUl@nt
trudge,trV_
true,tru
truffle,trVf@l
trug,trVg
trump,trVmp
truncate,trVNk1t
truncheon,trVnJ@n
trundle,trVnd@l
trunk,trVNk
truss,trVs
trust,trVst
try,tr2
tryst,trIst
tsar,z#
tub,tVb
tuba,tjub@
tube,tjub
tuber,tjub@
tubercle,tjub@k@l
tuck,tVk
tuft,tVft
tug,tVg
tuition,tjuIS@n
tulip,tjulIp
tumble,tVmb@l
tumbrel,tVmbr@l
tumescent,tjumEs@nt
tumid,tjumId
tummy,tVmI
tumour,tjum@
tumult,tjumVlt
tumulus,tjumjUl@s
tun,tVn
tuna,tun@
tune,tjun
tungsten,tVNst@n
tunic,tjunIk
tunnel,tVn@l
tunny,tVnI
tup,tVp
turban,t3b@n
turbid,t3bId
turbine,t3b2n
turbot,t3b@t
turbulent,t3bjUl@nt
turd,t3d
tureen,t@rin
turf,t3f
turgid,t3_Id
turkey,t3kI
turmeric,t3m@rIk
turmoil,t3m4l
turn,t3n
turnip,t3nIp
turpentine,t3p@nt2n
turpitude,t3pItjud
turps,t3ps
turquoise,t3kw4z
turret,tVrIt
turtle,t3t@l
tusk,tVsk
tussle,tVs@l
tussock,tVs@k
tutelar,tjutIl@
tutor,tjut@
tutu,tutu
tuxedo,tVksid5
twaddle,twQd@l
twain,tw1n
twang,tw{N
twat,twQt
tweak,twik
twee,twi
tweed,twid
tween,twin
tweet,twit
tweezer,twiz@
twelve,twElv
twenty,twEntI
twerp,tw3p
twice,tw2s
twiddle,twId@l
twig,twIg
twilit,tw2lIt
twill,twIl
twin,twIn
twine,tw2n
twinge,twIn_
twinkle,twINk@l
twirl,tw3l
twist,twIst
twit,twIt
twitch,twIJ
twitter,twIt@
twixt,twIkst
two,tu
tycoon,t2kun
tyke,t2k
tympanum,tImp@n@m
type,t2p
typhoon,t2fun
typhus,t2f@s
tyrant,t2@r@nt
tyre,t2@
tyro,t2@r5
ubiquity,jubIkw@tI
udder,Vd@
ugly,VglI
ukase,juk1z
ulcer,Vls@
ullage,VlI_
ulna,Vln@
ulster,Vlst@
ulterior,Vlt7r7
ultimate,VltIm@t
ultimatum,VltIm1t@m
ultimo,VltIm5
ululate,juljUl1t
umber,Vmb@
umbilical,VmbIl2k@l
umbrage,VmbrI_
umbrella,VmbrEl@
umpire,Vmp2@
un,wVn
unanimous,jun{nIm@s
uncle,VNk@l
unction,VNkS@n
under,Vnd@
understand,Vnd@st{nd
undulate,VndjUl1t
unguent,VNgw@nt
union,junj@n
unique,junik
unison,junIz@n
unit,junIt
unite,jun2t
universe,junIv3s
university,jun@v3sItI
until,@ntIl
unto,VntU
up,Vp
upholster,Vph5lst@
urban,3b@n
urbane,3b1n
urchin,3JIn
urge,3_
urine,j9rIn
urn,3n
us,Vs
use,juz
usher,VS@
usurp,juz3p
usury,juZUrI
utensil,jutEns@l
uterus,jut@r@s
utility,jutIl@tI
utilize,jut@l2z
utopia,jut5pj@
utter,Vt@
uvula,juvjUl@
uxorious,Vks$r7s
vac,v{k
vacate,v@k1t
vaccine,v{ksin
vacillate,v{s@l1t
vacuous,v{kj9s
vacuum,v{kj9m
vagabond,v{g@bQnd
vagary,v1g@rI
vagina,v@_2n@
vagrant,v1gr@nt
vague,v1g
vain,v1n
valance,v{l@ns
vale,v1l
valence,v1l@ns
valency,v1l@nsI
valentine,v{l@nt2n
valerian,v@l7r7n
valet,v{lIt
valiant,v{lj@nt
valid,v{lId
valise,v@liz
valley,v{lI
valour,v{l@
value,v{lju
valve,v{lv
vamoose,v@mus
vamp,v{mp
vampire,v{mp2@
van,v{n
vanadium,v@n1d7m
vandal,v{nd@l
vane,v1n
vanilla,v@nIl@
vanish,v{nIS
vanquish,v{NkwIS
vantage,v#ntI_
vapid,v{pId
vapour,v1p@
varicose,v{rIk5s
varlet,v#lIt
varmint,v#mInt
varnish,v#nIS
varsity,v#s@tI
vary,v8rI
vascular,v{skjUl@
vase,v#z
vaseline,v{s@lin
vassal,v{s@l
vast,v#st
vat,v{t
vault,v$lt
vaunt,v$nt
veal,vil
vector,vEkt@
veer,v7
vegetable,vE_t@b@l
vegetate,vE_It1t
vehement,vi@m@nt
vehicle,v7k@l
veil,v1l
vein,v1n
veld,vElt
vellum,vEl@m
velocity,vIlQs@tI
velour,v@l9
velum,vil@m
velvet,vElvIt
venal,vin@l
vend,vEnd
veneer,v@n7
venerate,vEn@r1t
venereal,v@n7r7l
venge,vEn_
venial,vinj@l
venison,vEnIz@n
venom,vEn@m
vent,vEnt
ventricle,vEntrIk@l
venture,vEnJ@
venue,vEnju
veranda,v@r{nd@
verb,v3b
verbatim,v3b1tIm
verbena,v3bin@
verbose,v3b5s
verdant,v3d@nt
verdict,v3dIkt
verdigris,v3dIgrIs
verdure,v3_@
verge,v3_
verger,v3_@
verify,vErIf2
verity,vEr@tI
vermicelli,v3mIsElI
vermiculite,v3mIkjUl2t
vermifuge,v3mIfju_
vermilion,v@mIlj@n
vermin,v3mIn
vermouth,v3m@T
vernacular,v@n{kjUl@
vernal,v3n@l
veronica,v@rQnIk@
verruca,v@ruk@
versatile,v3s@t2l
verse,v3s
version,v3S@n
verso,v3s5
versus,v3s@s
vertebra,v3tIbr@
vertex,v3tEks
vertical,v3tIk@l
vertigo,v3tIg5
verve,v3v
very,v7rI
vesicle,vEsIk@l
vesper,vEsp@
vessel,vEs@l
vest,vEst
vestibule,vEstIbjul
vestige,vEstI_
vet,vEt
vetch,vEJ
veteran,vEt@r@n
veterinary,vEt@rIn@rI
veto,vit5
vex,vEks
via,v2@
viable,v2@b@l
viaduct,v2@dVkt
vial,v2@l
viands,v2@ndz
vibrate,v2br1t
vicar,vIk@
vicarious,vIk8r7s
vice,v2sI
vicereine,v2sr1n
viceroy,v2sr4
vicinity,vIsIn@tI
vicissitude,vIsIsItjud
victim,vIktIm
victor,vIkt@
victual,vIt@l
vicuna,vIkjun@
videlicet,vIdilIsEt
video,vIdI5
vie,v2
view,vju
vigil,vI_Il
vignette,vInjEt
vigour,vIg@
vile,v2l
villa,vIl@
village,vIlI_
villain,vIl@n
villein,vIlIn
vim,vIm
vindicate,vIndIk1t
vindictive,vIndIktIv
vine,v2n
vinegar,vInIg@
vino,vin5
vintage,vIntI_
vinyl,v2nIl
viol,v2@l
viola,vI5l@
violate,v2@l1t
violet,v2@l@t
violin,v2@lIn
viper,v2p@
virago,vIr#g5
virgin,v3_In
virile,vIr2l
virtu,v3tu
virtue,v3tju
virus,v2@r@s
visa,viz@
visage,vIzI_
viscera,vIs@r@
viscid,vIsId
viscous,vIsk@s
visible,vIz@b@l
vision,vIZ@n
visit,vIzIt
visor,v2z@
vista,vIst@
visual,vIZ9l
vital,v2t@l
vitamin,vIt@mIn
vitiate,vISI1t
vitric,vItrIk
vitriol,vItr7l
vituperate,vItjup@r1t
viva,v2v@
vivid,vIvId
vivisect,vIvIsEkt
vixen,vIks@n
vizier,vIz7
vocabulary,v5k{bjUl@rI
vocal,v5k@l
vocation,v5k1S@n
vogue,v5g
voice,v4s
void,v4d
voile,v4l
volatile,vQl@t2l
volcano,vQlk1n5
vole,v5l
volition,v5lIS@n
volley,vQlI
volt,v5lt
voluble,vQljUb@l
volume,vQljum
volunteer,vQl@nt7
voluptuous,v@lVpJ9s
volute,v@lut
vomit,vQmIt
voodoo,vudu
voracious,v@r1S@s
vortex,v$tEks
votary,v5t@rI
vote,v5t
votive,v5tIv
vow,v6
vowel,v6@l
voyage,v4I_
vulgar,vVlg@
vulnerable,vVln@r@b@l
vulpine,vVlp2n
vulture,vVlJ@
vulva,vVlv@
wack,w{k
wacky,w{kI
wad,wQd
waddle,wQd@l
wade,w1d
wadge,wQ_
wafer,w1f@
waffle,wQf@l
waft,w#ft
wag,w{g
wage,w1_
wagon,w{g@n
waif,w1f
wail,w1l
wain,w1n
wainscot,w1nsk@t
waist,w1st
wait,w1t
waive,w1v
wake,w1k
wale,w1l
walk,w$k
wall,w$l
wallaby,wQl@bI
wallah,wQl@
wallet,wQlIt
wallop,wQl@p
wallow,wQl5
walrus,w$lr@s
waltz,w$ls
wampum,wQmp@m
wan,wQn
wand,wQnd
wander,wQnd@
wane,w1n
wangle,w{Ng@l
wank,w{Nk
want,wQz@nt
wanton,wQnt@n
wapiti,wQpItI
war,w$
warble,w$b@l
ward,w$d
warden,w$d@n
ware,w8
warm,w$m
warn,w$n
warp,w$p
warrant,wQr@nt
warren,wQr@n
warrior,wQr7
wart,w$t
wary,w8rI
wash,wQS
wasp,wQsp
wassail,wQs1l
waste,w1st
wastrel,w1str@l
watch,wQJ
water,w$t@
watt,wQt
wattle,wQt@l
wave,w1v
wax,w{ks
way,w1
we,wi
weak,wik
weal,wil
wealth,wElT
wean,win
weapon,wEp@n
wear,w8
weary,w7rI
weasel,wiz@l
weather,wED@
weave,wiv
web,wEb
wed,wEnzdI
wedge,wE_
wee,wiv
weed,wid
week,wik
weeny,winI
weep,wip
weevil,wiv@l
weft,wEft
weigh,w1
weight,w1t
weir,w7
weird,w7d
welcome,wElk@m
weld,wEld
welkin,wElkIn
well,wil
wellington,wElINt@n
welsh,wElS
welt,wElt
welter,wElt@
wen,wEn
wench,wEnJ
wend,wEnd
west,wEst
wet,wEt
wether,wED@
whack,w{k
whale,w1l
wham,w{m
whang,w{N
wharf,w$f
what,wQt
wheat,wit
wheedle,wid@l
wheel,wil
wheeze,wiz
whelk,wElk
whelp,wElp
when,wEn
whence,wEns
where,w8
wherry,wErI
whet,wEt
whether,wED@
whey,w1
which,wIJ
whiff,wIf
while,w2l
whilst,w2lst
whim,wIm
whimper,wImp@
whin,wIn
whine,w2n
whinny,wInI
whip,wIp
whippet,wIpIt
whirl,w3l
whirr,w3
whisk,wIsk
whisky,wIskI
whisper,wIsp@
whist,wIst
whistle,wIs@l
whit,wIt
white,w2t
whither,wID@
whitlow,wItl5
whittle,wIt@l
whiz,wIz
who,hu
whole,h5l
whom,hum
whoop,wup
whoosh,wUS
whop,wQp
whore,hu
whorl,w3l
whose,huz
why,w2
wick,wIk
wicked,wIkId
wicker,wIk@
wicket,wIkIt
wide,w2d
widgeon,wI_@n
widow,wId5
wield,wild
wife,w2f
wig,wIg
wiggle,wIg@l
wight,w2t
wigwam,wIgw{m
wild,w2ld
wile,w2l
will,wIl
willow,wIl5
wilt,wIlt
wimple,wImp@l
win,wIn
wince,wIns
wincey,wInsI
winch,wInJ
wind,wInd
window,wId5
wine,w2n
wing,wIN
wink,wINk
winkle,wINk@l
winnow,wIn5
winter,wInt@
wipe,w2p
wire,w2@
wise,w2z
wish,wIS
wisp,wIsp
wit,wIt
witch,wIJ
with,wIT
withe,wIT
wither,wID@
withers,wID@z
withy,wIDI
witness,wItnIs
wizen,wIz@n
woad,w5d
wobble,wQb@l
woe,w5
wog,wQg
wold,w5ld
wolf,wUlf
wolfram,wUlfr@m
woman,wUm@n
womb,wum
wombat,wQmb{t
wonder,wVnd@
wonky,wQNkI
wont,w5nt
woo,wu
wood,wUd
woof,wUf
wool,wUl
woozy,wuzI
wop,wQp
word,w3d
work,w3k
world,w3ld
worm,w3m
worry,wVrI
worship,w3SIp
worsted,w3stId
wort,w3t
worth,w3T
would,wUd
wound,w6nd
wow,w6
wrack,r{k
wraith,r1T
wrangle,r{Ng@l
wrap,r{p
wrath,rQT
wreak,rik
wreath,riT
wreck,rEk
wren,rEn
wrench,rEnJ
wrest,rEst
wretch,rEJ
wriggle,rIg@l
wright,r2t
wring,rIN
wrinkle,rINk@l
wrist,rIst
writ,rIt
write,r2t
writhe,r2D
wrong,rQN
wroth,r5T
wrought,r$t
wry,r2
wyvern,w2v@n
xenon,zinQn
xerox,z7rQks
yacht,jQt
yahoo,j@hu
yak,j{k
yam,j{m
yammer,j{m@
yang,j{N
yank,j{Nk
yap,j{p
yard,j#d
yarn,j#n
yarrow,j{r5
yaw,j$
yawl,j$l
yawn,j$n
ye,ji
yea,j8
yeah,j8
year,j7
yearn,j3n
yeast,jist
yell,jEl
yellow,jEl5
yelp,jElp
yen,jEn
yes,jEs
yet,jEt
yeti,jEtI
yew,ju
yield,jild
yin,jIn
yob,jQb
yodel,j5d@l
yoga,j5g@
yoghurt,jQg@t
yogi,j5gI
yoke,j5k
yokel,j5k@l
yolk,j5k
yon,jQn
yonder,jQnd@
yore,j$
you,ju
young,jVN
your,j$
youth,juT
yowl,j6l
yucca,jVk@
yule,jul
zany,z1nI
zap,z{p
zeal,zil
zealot,zEl@t
zebra,zEbr@
zebu,zibu
zed,zEd
zee,zi
zen,zEn
zenana,zEn#n@
zenith,zEnIT
zephyr,zEf@
zeppelin,zEp@lIn
zero,z7r5
zest,zEst
ziggurat,zIg@r{t
zinc,zINk
zing,zIN
zinnia,zInj@
zip,zIp
zircon,z3kQn
zither,zID@
zizz,zIz
zodiac,z5dI{k
zombie,zQmbI
zone,z5n
zoo,zu
zoom,zum
